bm_protocol,bm_predicted_protocol,bm_order,bm_predicted_order,bm_comments,bm_predicted_comments,bm_score,index,ft_protocol,ft_predicted_protocol,ft_order,ft_predicted_order,ft_comments,ft_predicted_comments,ft_score
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,34,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,35,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,['split'],[''],0.3,36,routine,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,['split'],[],0.4
routine,pancreas,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,37,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
pancreas,pancreas,CT dual pancreas incl CT abd pel w and CT chest w MIPS,CT dual pancreas,[],[],0.9,38,pancreas,pancreas,CT dual pancreas incl CT abd pel w and CT chest w MIPS,CT dual pancreas incl CT abd pel w MIPS,[],[],0.9
noncon,crohns,CT abdomen pelvis without contrast,CT abdomen pelvis,['reroute '],[''],0.3,39,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,['reroute '],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,40,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,41,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,42,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,43,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,44,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,,CT abdomen pelvis with contrast,,[],,0.0,45,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,46,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
rcc,noncon,CT RCC protocol inc CT dual abd and pelvis w wo contrast,CT abdomen with noncontrast,[],['renal donor'],0.3,47,rcc,rcc,CT RCC protocol inc CT dual abd and pelvis w wo contrast,CT RCC protocol inc CT dual abd and pelvis w wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,48,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis noncon,[],[],0.9,49,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,50,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,51,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,52,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.3,53,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[''],0.8,54,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],['oral contrast'],0.9,55,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],[],0.9
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.8,56,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,57,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],['oral contrast'],0.9,58,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,59,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
pancreas,pancreas,CT dual pancreas protocol incl CT abd pel w contrast,CT dual pancreas protocol incl CT abd pel w contrast,[],[''],0.9,60,pancreas,pancreas,CT dual pancreas protocol incl CT abd pel w contrast,CT dual pancreas protocol incl CT abd pel w contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],['oral contrast'],0.9,61,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],[],0.9
crohns,crohns,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,62,crohns,crohns,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0,63,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,64,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,65,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,66,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
cirrhosis,cirrhosis,CT cirrhosis abdomen pelvis w contrast protocol,CT abdomen pelvis with contrast,[],[],0.9,67,cirrhosis,cirrhosis,CT cirrhosis abdomen pelvis w contrast protocol,CT cirrhosis abdomen pelvis w contrast protocol,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,['low pelvis'],[''],0.8,68,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,['low pelvis'],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,69,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,70,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast,[],[],0.9,71,noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast with MIPS,[],[],1.0
routine,routine,CT pelvis with contrast,CT pelvis with contrast,['low pelvis'],[''],0.9,72,routine,routine,CT pelvis with contrast,CT pelvis with contrast,['low pelvis'],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,73,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,74,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[''],0.9,75,routine,pancreas,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],0.5
routine,crohns,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['md check for drain'],['oral contrast'],0.4,76,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['md check for drain'],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,77,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,78,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[''],0.9,79,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
radio embo,hepatic resection,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.4,80,radio embo,hepatic resection,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],0.5
gu,dual liver,CT GU protocol inc CT dual abd and pelvis with and without contrast,CT abdomen and pelvis with and without contrast,[],['oral contrast'],0.3,81,gu,gu,CT GU protocol inc CT dual abd and pelvis with and without contrast,CT GU protocol inc CT dual abd and pelvis with and without contrast,[],[],1.0
routine,renal stone,CT abdomen pelvis with contrast,CT abdomen pelvis with rectal contrast,['rectal contrast'],['oral contrast'],0.3,82,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['rectal contrast'],['md check for drain'],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,83,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,84,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,85,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,86,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
cirrhosis,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with oral contrast,[],['oral contrast'],0.3,87,cirrhosis,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],0.5
routine,split,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],['oral contrast'],0.4,88,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],['split'],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,89,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
trauma,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[''],0.4,90,trauma,trauma,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['md check for drain'],['oral contrast'],0.9,91,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['md check for drain'],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,92,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['oral contrast'],['oral contrast'],1.0,93,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['oral contrast'],[],0.9
trauma,trauma,CT chest abdomen pelvis level two trauma with contrast with MIPS protocol,CT chest abdomen pelvis with contrast,[],[''],0.8,94,trauma,trauma,CT chest abdomen pelvis level two trauma with contrast with MIPS protocol,CT chest abdomen pelvis level two trauma with contrast with MIPS protocol,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],['oral contrast'],0.9,95,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],[],0.9
routine,crohns,CT abdomen pelvis with contrast,CT abdomen with contrast,['md check for drain'],['oral contrast'],0.3,96,routine,crohns,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['md check for drain'],[],0.4
noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis with noncon protocol,[],[],0.9,97,noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast with MIPS,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.8,98,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,99,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,100,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,101,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],['oral contrast'],0.9,102,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],[],0.9
routine,cholangiocarcinoma,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.4,103,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,104,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.8,105,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,106,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,107,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
cirrhosis,dual liver,CT cirrhosis abdomen only w contrast protocol,CT abdomen with dual liver protocol,[],[''],0.3,108,cirrhosis,cirrhosis,CT cirrhosis abdomen only w contrast protocol,CT cirrhosis abdomen only w contrast protocol,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,109,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
cirrhosis,cirrhosis,CT cirrhosis abdomen pelvis w contrast protocol,CT abdomen pelvis with contrast,['steroid prep'],['oral contrast'],0.8,110,cirrhosis,cirrhosis,CT cirrhosis abdomen pelvis w contrast protocol,CT cirrhosis abdomen pelvis w contrast protocol,['steroid prep'],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,111,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,112,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,113,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,114,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,115,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
rcc,noncon,CT RCC protocol inc CT dual abd and pelvis w wo contrast,CT abdomen pelvis with noncontrast,[],[],0.4,116,rcc,rcc,CT RCC protocol inc CT dual abd and pelvis w wo contrast,CT RCC protocol inc CT dual abd and pelvis w wo contrast,[],[],1.0
renal stone,,CT renal stone protocol inc CT abd and pelvis wo contrast,,[],,0.0,117,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,118,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,119,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,120,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,['low pelvis'],[''],0.8,121,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,['low pelvis'],[],0.9
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,122,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,123,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
rcc,rcc,CT RCC protocol inc CT dual abd and pelvis w wo contrast,CT abdomen and pelvis with contrast,[],['oral contrast'],0.8,124,rcc,rcc,CT RCC protocol inc CT dual abd and pelvis w wo contrast,CT RCC protocol inc CT dual abd and pelvis w wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,125,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
